episode,character,minutes,season
1,All Tatiana Maslany Clones,39.35,1
2,All Tatiana Maslany Clones,43.1,1
3,All Tatiana Maslany Clones,54.33333333,1
4,All Tatiana Maslany Clones,48.21666667,1
5,All Tatiana Maslany Clones,44.95,1
6,All Tatiana Maslany Clones,39.18333333,1
7,All Tatiana Maslany Clones,36.11666667,1
8,All Tatiana Maslany Clones,34.16666667,1
9,All Tatiana Maslany Clones,44.48333333,1
10,All Tatiana Maslany Clones,50.58333333,1
11,All Tatiana Maslany Clones,42.85,2
12,All Tatiana Maslany Clones,36.95,2
13,All Tatiana Maslany Clones,33.61666667,2
14,All Tatiana Maslany Clones,37.25,2
15,All Tatiana Maslany Clones,38.58333333,2
16,All Tatiana Maslany Clones,41.36666667,2
17,All Tatiana Maslany Clones,33.15,2
18,All Tatiana Maslany Clones,41.01666667,2
19,All Tatiana Maslany Clones,37.88333333,2
20,All Tatiana Maslany Clones,50.41666667,2
1,Sarah,34.85,1
2,Sarah,36.21666667,1
3,Sarah,37.75,1
4,Sarah,27.28333333,1
5,Sarah,29.38333333,1
6,Sarah,17.85,1
7,Sarah,19.18333333,1
8,Sarah,15.25,1
9,Sarah,21.9,1
10,Sarah,21.16666667,1
11,Sarah,22.5,2
12,Sarah,15.93333333,2
13,Sarah,16.76666667,2
14,Sarah,20.8,2
15,Sarah,13.23333333,2
16,Sarah,17.96666667,2
17,Sarah,16.93333333,2
18,Sarah,8.683333333,2
19,Sarah,9.133333333,2
20,Sarah,22.16666667,2
2,Alison,6.1,1
3,Alison,7.283333333,1
4,Alison,9.383333333,1
5,Alison,8.45,1
6,Alison,14.43333333,1
8,Alison,11.15,1
9,Alison,8.65,1
10,Alison,11.03333333,1
11,Alison,8.65,2
12,Alison,10.31666667,2
13,Alison,7.416666667,2
14,Alison,5.683333333,2
16,Alison,5.566666667,2
17,Alison,8.816666667,2
18,Alison,5,2
19,Alison,8.65,2
20,Alison,3.566666667,2
2,Cosima,0.783333333,1
3,Cosima,7.25,1
4,Cosima,3.15,1
5,Cosima,6.416666667,1
6,Cosima,6.9,1
7,Cosima,7.033333333,1
8,Cosima,4.083333333,1
9,Cosima,6.216666667,1
10,Cosima,8.916666667,1
11,Cosima,4.716666667,2
12,Cosima,5.483333333,2
13,Cosima,5.816666667,2
14,Cosima,4.1,2
15,Cosima,5.266666667,2
16,Cosima,4.1,2
17,Cosima,3.116666667,2
18,Cosima,8.45,2
19,Cosima,3.516666667,2
20,Cosima,11.48333333,2
3,Helena,2.05,1
4,Helena,8.4,1
5,Helena,0.7,1
7,Helena,9.9,1
8,Helena,3.683333333,1
9,Helena,7.533333333,1
10,Helena,5.883333333,1
11,Helena,0.916666667,2
12,Helena,2.933333333,2
13,Helena,3.616666667,2
14,Helena,6.666666667,2
15,Helena,11.71666667,2
16,Helena,13.73333333,2
19,Helena,9.083333333,2
20,Helena,7.016666667,2
9,Rachel,0.183333333,1
10,Rachel,3.583333333,1
11,Rachel,6.066666667,2
12,Rachel,2.283333333,2
15,Rachel,8.366666667,2
17,Rachel,4.283333333,2
18,Rachel,4.466666667,2
19,Rachel,7.5,2
20,Rachel,6.183333333,2
1,"Beth, Katja, and Tony",4.5,1
18,"Beth, Katja, and Tony",14.41666667,2
