episode,startmin,stopmin,character,charas
1,0,8.1167,Sarah,Sarah
1,1.05,2.8833,Beth,Beth
1,9.8,12.5,Sarah,Sarah
1,12.5,12.8667,Sarah,Beth
1,13.4333,17.4667,Sarah,Beth
1,18.1333,20,Sarah,Beth
1,20.55,20.9167,Sarah,Beth
1,21.6667,23.15,Sarah,Beth
1,24.7667,26.2167,Sarah,Beth
1,26.2167,29.1167,Sarah,Sarah
1,29.1167,31.7,Sarah,Beth
1,33.25,36.7333,Sarah,Beth
1,36.7333,37.9167,Sarah,Sarah
1,38.6167,40.2667,Sarah,Sarah
1,40.2667,42.9333,Katja,Katja
1,40.2667,41.7,Sarah,Beth
1,41.7,42.9333,Sarah,Sarah
2,0,1.583333333,Sarah,Beth
2,0.15,1.4,Alison,Alison
2,1.583333333,2.016666667,Sarah,Sarah
2,2.566666667,3.25,Sarah,Sarah
2,4.033333333,5.25,Sarah,Sarah
2,6.55,6.65,Sarah,Sarah
2,6.966666667,10.85,Sarah,Sarah
2,10.85,13.45,Sarah,Beth
2,16.16666667,19.98333333,Sarah,Beth
2,19.98333333,21.38333333,Sarah,Sarah
2,21.38333333,21.93333333,Sarah,Beth
2,21.38333333,21.93333333,Cosima,Cosima
2,21.93333333,22.71666667,Sarah,Sarah
2,22.71666667,26.61666667,Sarah,Katja
2,26.61666667,34.71666667,Sarah,Sarah
2,28.35,29.21666667,Alison,Alison
2,30.83333333,31.88333333,Alison,Alison
2,32.73333333,34.71666667,Alison,Alison
2,34.71666667,38.16666667,Sarah,Beth
2,38.16666667,38.48333333,Sarah,Sarah
2,38.16666667,38.48333333,Alison,Alison
2,38.48333333,39.35,Sarah,Beth
2,39.35,41.88333333,Sarah,Sarah
2,41.25,41.88333333,Alison,Alison
2,41.65,41.88333333,Cosima,Cosima
3,0,1.6,Sarah,Sarah
3,0,1.6,Alison,Alison
3,0,1.6,Cosima,Cosima
3,2.3667,3.9,Sarah,Sarah
3,2.3667,3.25,Alison,Alison
3,2.3667,2.65,Cosima,Cosima
3,3.35,3.9,Cosima,Cosima
3,3.9,5.1833,Sarah,Sarah
3,5.1833,9.4667,Sarah,Beth
3,9.4667,10.6833,Sarah,Sarah
3,9.4667,10.6833,Cosima,Cosima
3,10.6833,11.9333,Sarah,Beth
3,11.9333,14.9,Sarah,Sarah
3,11.9333,14.9,Cosima,Cosima
3,14.9,18.75,Sarah,Beth
3,19.1833,20.75,Sarah,Sarah
3,21.0333,21.6667,Sarah,Sarah
3,21.0333,21.6667,Cosima,Cosima
3,22.35,23.05,Sarah,Sarah
3,22.35,23.4333,Alison,Alison
3,23.85,24.3333,Sarah,Beth
3,23.85,27.5667,Alison,Alison
3,24.3333,27.0833,Sarah,Sarah
3,27.5667,27.95,Sarah,Sarah
3,27.95,29.7667,Sarah,Beth
3,29.7667,30.3667,Sarah,Sarah
3,30.3833,39.2167,Sarah,Beth
3,35.5167,36.8833,Helena,Helena
3,39.2167,41.2167,Sarah,Sarah
3,41.2167,41.9,Helena,Helena
4,0,1.666666667,Helena,Helena
4,1.666666667,5,Sarah,Sarah
4,1.816666667,3.166666667,Alison,Alison
4,3.25,5,Cosima,Cosima
4,5,5.65,Alison,Alison
4,5.65,8.9,Sarah,Beth
4,8.9,9.483333333,Sarah,Sarah
4,9.783333333,13.06666667,Sarah,Beth
4,13.01666667,14.05,Helena,Beth
4,14.05,15.73333333,Sarah,Beth
4,15.73333333,17.05,Helena,Beth
4,17.05,17.38333333,Sarah,Beth
4,17.38333333,18.05,Sarah,Sarah
4,18.05,18.76666667,Alison,Alison
4,18.76666667,20.2,Sarah,Beth
